,zip,year_factor,count
311,10026,2005,203
312,10026,2006,208
313,10026,2007,232
314,10026,2008,296
315,10026,2009,242
316,10026,2010,202
317,10026,2011,172
318,10026,2012,243
319,10026,2013,199
320,10026,2014,216
321,10026,2015,257
322,10026,2016,39
323,10027,2004,256
324,10027,2005,293
325,10027,2006,326
326,10027,2007,361
327,10027,2008,523
328,10027,2009,434
329,10027,2010,259
330,10027,2011,315
331,10027,2012,390
332,10027,2013,334
333,10027,2014,329
334,10027,2015,410
335,10027,2016,61
336,10028,2004,149
337,10028,2005,214
338,10028,2006,218
339,10028,2007,215
340,10028,2008,279
341,10028,2009,207
342,10028,2010,192
343,10028,2011,200
344,10028,2012,189
345,10028,2013,181
346,10028,2014,203
347,10028,2015,257
348,10028,2016,63
349,10029,2004,125
350,10029,2005,225
351,10029,2006,211
352,10029,2007,285
353,10029,2008,403
354,10029,2009,376
355,10029,2010,287
356,10029,2011,239
357,10029,2012,286
358,10029,2013,352
359,10029,2014,314
360,10029,2015,355
361,10029,2016,38
362,10030,2004,100
363,10030,2005,138
364,10030,2006,120
365,10030,2007,146
366,10030,2008,205
367,10030,2009,200
368,10030,2010,108
369,10030,2011,148
370,10030,2012,192
371,10030,2013,133
372,10030,2014,137
373,10030,2015,148
374,10030,2016,31
375,10031,2004,138
376,10031,2005,244
377,10031,2006,251
378,10031,2007,250
379,10031,2008,510
380,10031,2009,404
381,10031,2010,260
382,10031,2011,229
383,10031,2012,243
384,10031,2013,385
385,10031,2014,366
386,10031,2015,466
387,10031,2016,76
388,10032,2004,136
389,10032,2005,227
390,10032,2006,223
391,10032,2007,268
392,10032,2008,474
393,10032,2009,292
394,10032,2010,258
395,10032,2011,242
396,10032,2012,255
397,10032,2013,260
398,10032,2014,227
399,10032,2015,232
400,10032,2016,40
401,10033,2004,125
402,10033,2005,157
403,10033,2006,163
404,10033,2007,208
405,10033,2008,426
406,10033,2009,245
407,10033,2010,153
408,10033,2011,215
409,10033,2012,229
410,10033,2013,262
411,10033,2014,170
412,10033,2015,159
413,10033,2016,62
414,10034,2004,99
415,10034,2005,158
416,10034,2006,158
417,10034,2007,170
418,10034,2008,358
419,10034,2009,269
420,10034,2010,145
421,10034,2011,176
422,10034,2012,261
423,10034,2013,223
424,10034,2014,148
425,10034,2015,158
426,10034,2016,23
427,10035,2004,86
428,10035,2005,156
429,10035,2006,214
430,10035,2007,203
431,10035,2008,315
432,10035,2009,193
