# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#DATE  Date
#FLOW Daily mean discharge in cubic feet per second
#WY Water year; the 12-month period beginning on October 1 for any given year and lasting through September 30 of the following year. The water year is designated by the calendar year in which it ends.
SITE_QW_ID,SITE_FLOW_ID,DATE,WY,FLOW
01170100,01170100,2013-10-02,2014,17.0
01170100,01170100,2013-10-03,2014,16.0
01170100,01170100,2013-10-04,2014,30.0
01170100,01170100,2013-10-05,2014,34.0
01170100,01170100,2013-10-06,2014,58.0
01170100,01170100,2013-10-07,2014,69.0
01170100,01170100,2013-10-08,2014,103.0
01170100,01170100,2013-10-09,2014,49.0
01170100,01170100,2013-10-10,2014,37.0
01170100,01170100,2013-10-11,2014,32.0
01170100,01170100,2013-10-12,2014,29.0
01170100,01170100,2013-10-13,2014,27.0
01170100,01170100,2013-10-14,2014,26.0
01170100,01170100,2013-10-15,2014,25.0
01170100,01170100,2013-10-16,2014,24.0
01170100,01170100,2013-10-17,2014,24.0
01170100,01170100,2013-10-18,2014,30.0
01170100,01170100,2013-10-19,2014,28.0
01170100,01170100,2013-10-20,2014,25.0
01170100,01170100,2013-10-21,2014,24.0
01170100,01170100,2013-10-22,2014,23.0
01170100,01170100,2013-10-23,2014,23.0
01170100,01170100,2013-10-24,2014,22.0
01170100,01170100,2013-10-25,2014,21.0
01170100,01170100,2013-10-26,2014,21.0
01170100,01170100,2013-10-27,2014,21.0
01170100,01170100,2013-10-28,2014,20.0
01170100,01170100,2013-10-29,2014,20.0
01170100,01170100,2013-10-30,2014,20.0
01170100,01170100,2013-10-31,2014,21.0
01170100,01170100,2013-11-01,2014,147.0
01170100,01170100,2013-11-02,2014,99.0
01170100,01170100,2013-11-03,2014,56.0
01170100,01170100,2013-11-04,2014,41.0
01170100,01170100,2013-11-05,2014,35.0
01170100,01170100,2013-11-06,2014,33.0
01170100,01170100,2013-11-07,2014,33.0
01170100,01170100,2013-11-08,2014,34.0
01170100,01170100,2013-11-09,2014,30.0
01170100,01170100,2013-11-10,2014,29.0
01170100,01170100,2013-11-11,2014,29.0
01170100,01170100,2013-11-12,2014,27.0
01170100,01170100,2013-11-13,2014,26.0
01170100,01170100,2013-11-14,2014,25.0
01170100,01170100,2013-11-15,2014,25.0
01170100,01170100,2013-11-16,2014,25.0
01170100,01170100,2013-11-17,2014,25.0
01170100,01170100,2013-11-18,2014,51.0
01170100,01170100,2013-11-19,2014,45.0
01170100,01170100,2013-11-20,2014,34.0
01170100,01170100,2013-11-21,2014,31.0
01170100,01170100,2013-11-22,2014,31.0
01170100,01170100,2013-11-23,2014,31.0
01170100,01170100,2013-11-24,2014,29.0
01170100,01170100,2013-11-25,2014,30.0
01170100,01170100,2013-11-26,2014,40.0
01170100,01170100,2013-11-27,2014,348.0
01170100,01170100,2013-11-28,2014,201.0
01170100,01170100,2013-11-29,2014,88.0
01170100,01170100,2013-11-30,2014,64.0
01170100,01170100,2013-12-01,2014,74.0
01170100,01170100,2013-12-02,2014,58.0
01170100,01170100,2013-12-03,2014,52.0
01170100,01170100,2013-12-04,2014,48.0
01170100,01170100,2013-12-05,2014,46.0
01170100,01170100,2013-12-06,2014,52.0
01170100,01170100,2013-12-07,2014,52.0
01170100,01170100,2013-12-08,2014,44.0
01170100,01170100,2013-12-09,2014,42.0
01170100,01170100,2013-12-10,2014,42.0
01170100,01170100,2013-12-11,2014,38.0
01170100,01170100,2013-12-12,2014,39.0
01170100,01170100,2013-12-13,2014,37.0
01170100,01170100,2013-12-14,2014,35.0
01170100,01170100,2013-12-15,2014,35.0
01170100,01170100,2013-12-16,2014,36.0
01170100,01170100,2013-12-17,2014,37.0
01170100,01170100,2013-12-18,2014,37.0
01170100,01170100,2013-12-19,2014,39.0
01170100,01170100,2013-12-20,2014,42.0
01170100,01170100,2013-12-21,2014,76.0
01170100,01170100,2013-12-22,2014,252.0
01170100,01170100,2013-12-23,2014,309.0
01170100,01170100,2013-12-24,2014,190.0
01170100,01170100,2013-12-25,2014,90.0
01170100,01170100,2013-12-26,2014,75.0
01170100,01170100,2013-12-27,2014,84.0
01170100,01170100,2013-12-28,2014,68.0
01170100,01170100,2013-12-29,2014,80.0
01170100,01170100,2013-12-30,2014,134.0
01170100,01170100,2013-12-31,2014,111.0
01170100,01170100,2014-01-01,2014,101.0
01170100,01170100,2014-01-02,2014,85.0
01170100,01170100,2014-01-03,2014,77.0
01170100,01170100,2014-01-04,2014,66.0
01170100,01170100,2014-01-05,2014,67.0
01170100,01170100,2014-01-06,2014,424.0
01170100,01170100,2014-01-07,2014,167.0
01170100,01170100,2014-01-08,2014,95.0
01170100,01170100,2014-01-09,2014,72.0
01170100,01170100,2014-01-10,2014,71.0
01170100,01170100,2014-01-11,2014,175.0
01170100,01170100,2014-01-12,2014,561.0
01170100,01170100,2014-01-13,2014,216.0
01170100,01170100,2014-01-14,2014,221.0
01170100,01170100,2014-01-15,2014,266.0
01170100,01170100,2014-01-16,2014,172.0
01170100,01170100,2014-01-17,2014,142.0
01170100,01170100,2014-01-18,2014,133.0
01170100,01170100,2014-01-19,2014,112.0
01170100,01170100,2014-01-20,2014,93.0
01170100,01170100,2014-01-21,2014,62.0
01170100,01170100,2014-01-22,2014,58.0
01170100,01170100,2014-01-23,2014,64.0
01170100,01170100,2014-01-24,2014,66.0
01170100,01170100,2014-01-25,2014,66.0
01170100,01170100,2014-01-26,2014,66.0
