Zipcode,year,Borough,Neighborhood,Turnover_AllHomes,MedianSoldPrice_AllHomes,MedianSoldPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,Income
10007,2005,Manhattan,Lower Manhattan,6.65635,1200241.275,807.1493902,0.904166667,98.98583333,"$314,862"
10007,2006,Manhattan,Lower Manhattan,4.135083333,1719481,1106.697643,6.710833333,90.55083333,"$291,571"
10007,2007,Manhattan,Lower Manhattan,10.728225,1168587.943,1209.493562,14.49583333,80.75833333,"$352,060"
10007,2008,Manhattan,Lower Manhattan,16.155525,2297736.288,1327.81241,25.11833333,66.5375,"$433,151"
10007,2009,Manhattan,Lower Manhattan,15.35150833,3037056.156,1517.6488,64.07,30.22583333,"$367,215"
10007,2010,Manhattan,Lower Manhattan,7.730758333,1476462,1072.124756,43.96083333,47.7875,"$413,964"
10007,2011,Manhattan,Lower Manhattan,7.33455,1962500,1141.270529,21.2175,69.51583333,"$422,140"
10007,2012,Manhattan,Lower Manhattan,9.182008333,1513274.398,1305.587203,37.87083333,51.63,"$476,189"
10007,2013,Manhattan,Lower Manhattan,11.07149167,2007190.611,1470.404602,5.320833333,93.21916667,"$495,034"
10009,2004,Manhattan,Lower East Side,2.6496,750498.6715,997.01023,40.29457317,52.18831301,"$50,245"
10009,2005,Manhattan,Lower East Side,6.093633333,716048,915.5542202,39.56132114,53.06847561,"$54,991"
10009,2006,Manhattan,Lower East Side,6.761333333,639761.1324,976.4334696,38.82806911,53.94863821,"$60,923"
10009,2007,Manhattan,Lower East Side,6.879666667,1261406,1201.885512,43.2275813,48.6676626,"$60,006"
10009,2008,Manhattan,Lower East Side,13.77619167,853850.6859,1241.37826,42.49432927,49.5478252,"$61,976"
10009,2009,Manhattan,Lower East Side,5.79895,584765.2093,1098.191968,37.36156504,55.70896341,"$62,518"
10009,2010,Manhattan,Lower East Side,4.824058333,784949.3429,1078.46624,41.0278252,51.30815041,"$62,480"
10009,2011,Manhattan,Lower East Side,6.609233333,819400.0144,1159.92225,41.76107724,50.4279878,"$66,593"
10009,2012,Manhattan,Lower East Side,5.794691667,606056.1539,1159.071218,36.62831301,56.58912602,"$69,934"
10009,2013,Manhattan,Lower East Side,6.244241667,563474.2647,1037.312719,38.09481707,54.82880081,"$71,493"
10010,2004,Manhattan,Gramercy Park and Murray Hill,2.13242,1044188.75,1219.950467,35.89506098,57.46928862,"$111,271"
10010,2005,Manhattan,Gramercy Park and Murray Hill,5.01055,795882.353,1010.660786,30.76229675,63.63042683,"$134,804"
10010,2006,Manhattan,Gramercy Park and Murray Hill,8.077733333,1388161.765,1056.025461,30.02904472,64.51058943,"$161,581"
10010,2007,Manhattan,Gramercy Park and Murray Hill,9.485575,1450413.571,1287.830752,33.69530488,60.10977642,"$196,343"
10010,2008,Manhattan,Gramercy Park and Murray Hill,13.70495833,1152836.569,1247.256454,32.96205285,60.98993902,"$180,275"
10010,2009,Manhattan,Gramercy Park and Murray Hill,6.968591667,2525000,1338.986241,31.49554878,62.75026423,"$153,265"
10010,2010,Manhattan,Gramercy Park and Murray Hill,8.609916667,1482321.345,1280.829717,35.16180894,58.34945122,"$173,512"
10010,2011,Manhattan,Gramercy Park and Murray Hill,7.941391667,1337568.799,1289.971129,29.29579268,65.39075203,"$185,032"
10010,2012,Manhattan,Gramercy Park and Murray Hill,10.43325,744736.1111,1443.636364,32.22880081,61.87010163,"$211,519"
10010,2013,Manhattan,Gramercy Park and Murray Hill,8.774541667,843241.6667,1532.137604,34.42855691,59.22961382,"$198,265"
10011,2004,Manhattan,Chelsea and Clinton,2.733666667,849158.6978,816.7611458,26.36278455,68.91140244,"$122,146"
10011,2005,Manhattan,Chelsea and Clinton,4.956425,991423.7859,1010.925806,23.42977642,72.43205285,"$143,949"
10011,2006,Manhattan,Chelsea and Clinton,10.33835833,838679.6,1083.937333,25.62953252,69.79156504,"$164,868"
10011,2007,Manhattan,Chelsea and Clinton,8.876058333,1248735.26,1181.439027,24.89628049,70.67172764,"$198,563"
10011,2008,Manhattan,Chelsea and Clinton,9.554441667,1425844.431,1284.955836,27.09603659,68.03123984,"$177,467"
10011,2009,Manhattan,Chelsea and Clinton,12.68549167,1209968.973,1178.262592,28.56254065,66.27091463,"$162,998"
10011,2010,Manhattan,Chelsea and Clinton,8.30455,1256337.038,1110.785736,24.16302846,71.55189024,"$180,489"
10011,2011,Manhattan,Chelsea and Clinton,6.694508333,1326994.338,1205.068483,27.82928862,67.15107724,"$198,716"
10011,2012,Manhattan,Chelsea and Clinton,7.822175,969434.2308,1250.561409,21.96327236,74.19237805,"$246,235"
10011,2013,Manhattan,Chelsea and Clinton,8.846858333,921716.6667,1428.323292,22.69652439,73.31221545,"$243,999"
10012,2004,Manhattan,Greenwich Village and Soho,4.440181818,1184294.118,737.1359878,16.0972561,81.23367886,"$115,134"
10012,2005,Manhattan,Greenwich Village and Soho,11.11696667,1704816.85,1049.723083,16.83050813,80.35351626,"$136,162"
10012,2006,Manhattan,Greenwich Village and Soho,8.631583333,1648529.412,1409.43877,14.63075203,82.99400407,"$143,432"
10012,2007,Manhattan,Greenwich Village and Soho,10.84795,922125.373,1236.076403,20.49676829,75.95270325,"$178,042"
10012,2008,Manhattan,Greenwich Village and Soho,12.01754167,1238490.702,1124.264411,18.2970122,78.59319106,"$179,815"
10012,2009,Manhattan,Greenwich Village and Soho,3.539141667,1416411.765,1073.287379,15.36400407,82.11384146,"$139,435"
10012,2010,Manhattan,Greenwich Village and Soho,5.681516667,1471653.776,1086.993747,17.56376016,79.47335366,"$163,360"
10012,2011,Manhattan,Greenwich Village and Soho,5.197533333,963726.5008,1198.805739,19.76351626,76.83286585,"$185,356"
