zip,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
10304,1.0,1.560376629759463,1.3665556520707447,1.8403149128828666,1.5499932477897653,1.4400269299302908,1.2680996037723635,1.2301841237129536,1.4000562890762622,1.2608421239390482
10306,1.0,1.2107571210191888,1.3853540942518856,1.5031880316449349,1.4431072882138438,1.1977668297809003,1.0348564335202615,1.2134419961816794,1.0734686699405915,1.4157083199033813
10312,1.0,1.3588905736362238,1.4528311522041513,1.4331366504360938,1.2259296498198673,1.0971737197987133,1.4820427365172988,1.4569480167364102,1.12753253373428,1.2608720236655144
11354,1.0,1.9707847300171746,3.251508085528841,4.080215357515564,3.7403210391224073,3.5226178213957113,3.2651152003719757,2.2266788216648865,2.630265356136234,2.359528248771941
11355,1.0,1.5786732987607368,2.831018801764936,2.3644902801488348,1.8158876492635279,1.7173487913193088,3.3172386748725655,1.571218201194862,1.619346948857429,1.7625326999216948
11357,1.0,1.6670473713713645,2.4193595899480638,2.7533507712074434,1.6758129461224063,1.8495415837247502,1.4812649653220649,1.6658688965019728,1.74816545692324,1.4809681852382568
11367,1.0,1.1470890759525256,1.5055103468833528,2.1395848109290685,1.3086310820445943,2.066764878729301,1.4623230036850132,2.098634804084962,2.1138592737426394,1.8612709054312522
11368,1.0,1.2536132476459252,1.3296158545859746,1.2545492579707458,1.4476485553675507,1.5192821814960777,1.533690084669708,1.338293431566288,1.8363971956912113,1.442268803542611
11372,1.0,1.2462945345637328,1.0442117589505688,1.2270347042181153,1.3524590554745957,1.1180359566813103,1.177593697611061,1.5604028218718438,1.7776347235985714,1.2580972476987082
11373,1.0,1.1908091094433284,1.2159373073298998,1.6139137008784055,1.1720408614754576,1.2498304204336195,1.651891329197916,1.5032525646660446,1.6340464664565526,1.398858523966214
11375,1.0,2.2115741548422356,1.448983784179086,2.4633868320106593,1.2364878002688935,1.2707288389667646,1.2298193845976697,1.2824169635821328,1.3262457506851895,1.2694082255840597
11377,1.0,1.4348055687675627,1.7151215900032821,2.0345361266325566,1.5286513974872125,1.7728851078096153,1.867771506370973,1.6261927181540545,1.2818829228267163,1.335091838981986
11378,1.0,2.3815050568831433,1.638058724439371,1.603516882894425,1.484058625323106,1.6669297198057784,1.2819669209822295,1.139643365443706,1.3241237747117711,1.641140576964436
11385,1.0,2.257302474431867,2.1721613592800493,1.956729529749848,1.4059020514999025,1.6636275205486655,1.5364041172578011,1.1850837978321267,1.4934406949480283,1.706262778661484
11419,1.0,1.088887984893997,1.2868543744383703,1.4394667037871387,1.2701736709863958,1.2503762273862513,1.4662909006593137,1.303281240930828,1.1238339295904745,1.0995201453532581
11433,1.0,1.091745340174528,1.566425443585699,1.6224032843838536,1.4629561902078745,1.5399542951040563,0.9404839118803008,1.4175664289779908,1.3853786526418421,1.4314818207039415
11434,1.0,1.081261074336452,1.0679819215696558,1.1257488552116004,1.5367698799771037,1.3050717546763748,1.0124512103612888,1.5240676965273015,1.4243966096426361,1.1152490545291749
11435,1.0,1.5100508335865703,1.712013287774758,2.4901308660742565,1.9470004901000848,2.0118078558270787,1.4532205172792465,1.8256210990225905,2.4860233617919265,1.6478307298001138
10452,1.0,1.6356906312220925,1.869408505556151,1.8759332524698344,1.5404021169386988,1.4985345317875316,1.4438666945033642,1.3933106511905167,1.1763006186827965,1.6529078514892888
10453,1.0,2.2753129190598385,1.0851470636661067,2.4665309451595454,3.2737171799773592,1.440822443135254,2.0875329694510434,2.093693256532384,2.9756152222242305,1.7368586201004685
10458,1.0,1.3038857193441058,1.1851508070135681,1.5315197618766194,1.4762751232544886,1.522941078660333,1.3878970066591734,1.3776536930590972,1.0506179927022603,1.0786510147641046
10460,1.0,1.173651747764217,1.5837644776577813,1.543281883593377,1.5172273451459162,1.6822232243856914,1.3374533167789038,1.330612339940148,1.5479445014110509,1.0921845061011766
10461,1.0,2.0457688300310113,1.6796264943999628,2.2328389460482194,1.4365722528814675,1.3773790609477587,1.4012513746271023,1.963948637810357,1.4205524365779953,1.6171585499045744
10462,1.0,3.9980556593887293,5.222477029634101,9.03537438456991,3.502706306422909,2.3448705824705436,2.651049069551,2.070698040618754,3.109395427952131,2.777640949711763
10466,1.0,1.638036839544894,1.5003392171510666,1.258237017613705,1.145502531742893,1.777594212039053,1.6222938414626966,1.6223557078707984,1.4877409294017867,1.3089431765957247
10467,1.0,1.5255984333951196,1.5156632307599822,1.6336676647785162,1.3101481862313569,1.3955984381877822,1.5283748302552147,2.266358392396949,1.3354980430177819,1.3633777933251419
10468,1.0,1.9477775499197858,2.0024059586073397,2.270311961751605,1.2007410764421607,1.5892561669670366,1.3761609288717984,1.2249704526813223,1.9997045118754986,1.5252173563021016
10469,1.0,2.6987204306833337,5.008876612558144,6.160466731172505,3.1836852781091154,4.278728604112819,2.4256693413529233,3.42959556783478,3.605392491490967,2.5245059715604716
